customer_unique_id,M_total,group_label
019322e670d197f31413176b865880fd,26.77,B_对照组
019890d2ead42f267a2c66919d9dedce,197.00,B_对照组
0199360d5869b53eece5870f3bd1ef0e,758.93,A_目标组
019e6c1c524669436535388a1cd5cefd,386.24,B_对照组
01a013f2d3d7b0fa074a09d3e6e7b611,302.54,B_对照组
01a20270c305052404127be803843f2f,162.25,B_对照组
01a8a2fa13dad647949ff57927e63b0d,53.95,B_对照组
01af16b985b3ad90d75333691e2da6ab,47.78,B_对照组
01b0d417af24703a0b20cbe71f354285,91.61,B_对照组
01ba3180d3c6e7a6e269c5a542985423,108.22,B_对照组
01cf555dad51551a56a1bdc9fbf2acd6,117.15,B_对照组
01d0f02781924f788fd9d0521663fae0,48.62,B_对照组
01d78a7d654c0b1ef85977c306d0f60f,171.24,B_对照组
01d8df79b0fe245a03928d53fc25c223,137.44,B_对照组
01ec28844a316ded17fa50fd28b98123,119.48,B_对照组
01ec66cacd4c45d04f9ee2a1c25bb20b,79.09,B_对照组
01ed8df97a21e2f15521f9758554b32b,60.00,B_对照组
01f173d576ec0a01bbe13dccf0942696,171.00,B_对照组
0206119a2f332d97fb68a9c1f592b2dc,79.10,B_对照组
0209cc2349a03f00567bb9d24a459829,65.00,B_对照组
020aa2d69bca8c7a0b3da5f8e602c26d,102.12,B_对照组
0214a2864bcff8020dbe8c40a2e9d26a,120.68,B_对照组
021dbb48a965542d846e18a6799d37c0,158.13,B_对照组
02248d5e7ec365ab4fe76975be1449a6,33.44,B_对照组
02251550f4d16aca44ce66e4263c0522,139.27,B_对照组
0228e299d1cabeaf9be64b5ccd784c97,1150.54,B_对照组
022e9ef39a8047a24a813f57ad382b94,647.54,B_对照组
023269083e9a81d89531aeb436d4a05b,105.38,B_对照组
02399dafe5a38655445fb46ec2499071,28.04,B_对照组
0245997602d4ec43390590e43dfd39d9,185.26,B_对照组
0246f8de7fe5a9cb5e3a3fffa3cf0da4,127.91,B_对照组
0247fad5e7e46592d7216d01e9a2d7f6,208.59,B_对照组
024bc6c3997170f0ca30edba8ba8aa55,307.80,B_对照组
0252e35d8aa0b7b19eb4fb96783bafca,69.17,B_对照组
